Clean Tweet,VADER,NB,SVM,NB+SMOTE,SVM+SMOTE
a broader view includes endless foreign war a euphemism for industrial murder against muslims for power and profit fanning of islamophobia by and for political adv and murdoch press endless cheerleading coverage ,Negative,Negative,Negative,Negative,Negative
a compelling thread the inequalities fostered by neoliberalism have the rise of irrational belief so the avarice of the elite leads to irrational belief which the elite manipulated and channeled into islamophobia to further enrich themselves ,Negative,Negative,Negative,Negative,Negative
a cult founded by a robber murderer rapist pedophile dude is bound to be caught up in the midst of evil thats the way it works pjnet islamophobia ,Negative,Negative,Negative,Negative,Negative
a debate is needed to discuss the term islamophobia a massacre of muslims in a mosque is obviously not the same as criticism of bad scripture the two things should not be lumped together ,Negative,Negative,Negative,Negative,Negative
a factor here is how quickly islamophobia seeps into policy and normalized the vast majority of outlets and commentators have wholly adopted calling it the travel ban this and as i asked yesterday has every democratic presidential candidate been asked if theyll repeal the ban immediately after assuming office and if not why not ,Negative,Negative,Negative,Negative,Negative
a few books to counter islamophobia this list is not exhaustive but these books written by muslim authors are just the beginning to develop a social awareness and begin to social justice in our children and dare i say even with adults happy reading ,Positive,Negative,Positive,Positive,Positive
a few more academics on twitter who tweetwrite about islamophobia antimuslim racism see earlier tweets for others and many more n ,Negative,Negative,Negative,Negative,Negative
a film that talks about the concept of islamophobia how its affecting the humanity is my name is khan a film that may change your take on islam terror a movie that is still relevant christchurchmosqueattack newzealandshooting mynameiskhan ,Negative,Positive,Negative,Positive,Negative
a gay woman walks into a mosque shes greeted with love and acceptance hate and intolerance towards our muslim neighbours must end call out islamophobia denounce hate in all its forms and dont ever accept that we cant make our world a kinder more loving place di al rashid mosque ,Positive,Negative,Positive,Negative,Positive
a genius hour islamophobia project became the we stand club student run shining light on equity today the student leader wrote mrs have you heard what a start to my day my heart breaks for new zealand stands proudly with muslim communities around the ,Positive,Negative,Negative,Positive,Positive
a great piece by on how prevalent islamophobia is in the highest echelons of american political life when i read the manifesto of the new zealand mass shooter i couldnt help but think of highprofile american politicians such as the president of the united states who said islam hates us writes ,Positive,Positive,Positive,Positive,Positive
a horrific attack terrible tragedy loss of innocent people gathered for jumma prayers in place of worship dont have words to describe sense of grief and anguish may allah have mercy on these martyrs and give solace to grieving families islamophobia newzealandmosqueshooting ,Negative,Negative,Negative,Negative,Negative
a large amount of times the word islamophobia is misused which decreases its value however it is islamophobic to when referencing the newzealandterroristattack to talk about isis and other muslim terrorist attacks the following is my reason why ,Negative,Negative,Negative,Negative,Negative
a list of resources on islamophobia from a friend and colleague theres a lot in here that deserves to find its way onto our syllabi and our many lists circulating today highlighting resources on islamophobia and antimuslim rhetoric im going to echo thread with our work and others beginning with this important book ,Positive,Negative,Positive,Positive,Positive
a lot of ex muslims are fortunately coming round to rejecting the fsr right and islamophobia on the media ,Negative,Negative,Negative,Negative,Positive
a lot of islamophobia is based on the notion that muslims threaten the european way of life values and culture one way to challenge this is to highlight the many everyday roles ,Positive,Positive,Positive,Positive,Positive
a massive fuck off to the you are part of the problem islamophobia this is what the spectator has published following a massacre of muslims by a farright terrorist notshockinganymore ,Negative,Negative,Negative,Negative,Negative
